S.No.,OBJECTID *,Sample,POINT_X,POINT_Y,WetWt,DryWt,AGB (kg/m2),AGB (kg/ha),TotalN (%),N_uptake (check unit),NUP,LAI,Blue,Green1,Green2,Yellow,Red,RedEdge,NIR,ND_green1_blue,ND_green2_blue,ND_green2_green1,ND_nir_blue,ND_nir_green1,ND_nir_green2,ND_nir_red,ND_nir_rededge,ND_nir_yellow,ND_red_blue,ND_red_green1,ND_red_green2,ND_red_yellow,ND_rededge_blue,ND_rededge_green1,ND_rededge_green2,ND_rededge_red,ND_rededge_yellow,ND_yellow_blue,ND_yellow_green1,ND_yellow_green2
1,15,F4_T5_2,-96.590312,39.217174,88.5,42.5,1.42,14200,1.8,255.6,25.56,,0.011866,0.017185,0.019963,0.02492,0.028415,0.043221,0.124238,0.18311,0.254398,0.074771,0.825639,0.75697,0.723127,0.62772,0.483804,0.665853,0.410851,0.246268,0.174714,0.065517,0.569201,0.431014,0.368106,0.206684,0.268564,0.354887,0.183715,0.110462
2,14,F4_T5_1,-96.590917,39.217146,103.5,44.5,1.5,15000,2.06,309,30.9,,0.012848,0.018401,0.021336,0.025794,0.031655,0.043185,0.10971,0.177697,0.248316,0.073879,0.790337,0.712737,0.674368,0.552157,0.435105,0.619283,0.422597,0.264784,0.194714,0.102007,0.541413,0.402433,0.338622,0.154066,0.252111,0.335033,0.167296,0.094586
3,13,F4_T4_2,-96.590341,39.21711,77.5,33.5,1.06,10600,2.75,291.5,29.15,,0.010444,0.01655,0.019374,0.023896,0.02747,0.043726,0.120446,0.226196,0.299489,0.078618,0.840418,0.758392,0.722874,0.628573,0.467315,0.668898,0.449076,0.248079,0.172832,0.069579,0.614405,0.450868,0.38593,0.228327,0.293248,0.391737,0.181635,0.10451
4,12,F4_T4_1,-96.590912,39.217097,83.1,40.5,1.34,13400,1.87,250.58,25.058,,0.012796,0.017157,0.019458,0.024649,0.029798,0.042211,0.111793,0.145598,0.206538,0.062829,0.794585,0.733891,0.7035,0.579092,0.451823,0.638685,0.399163,0.269211,0.209933,0.094571,0.534741,0.421998,0.368951,0.172369,0.262659,0.316541,0.179202,0.117698
5,11,F4_T3_2,-96.59034,39.217025,76,30.5,0.94,9400,2.31,217.14,21.714,,0.012408,0.017047,0.019374,0.024258,0.029022,0.043437,0.111366,0.157474,0.219159,0.06389,0.799498,0.734498,0.703627,0.586542,0.438805,0.64228,0.401002,0.259943,0.199364,0.089429,0.555617,0.436318,0.383108,0.198938,0.283326,0.323163,0.174573,0.111931
6,10,F4_T3_1,-96.590901,39.217034,74.5,29.5,0.9,9000,2.53,227.7,22.77,,0.011504,0.016688,0.019065,0.022932,0.026896,0.041886,0.122529,0.183888,0.247365,0.066503,0.828345,0.760262,0.730704,0.640004,0.490485,0.684703,0.400849,0.234226,0.170377,0.079565,0.569067,0.430197,0.374406,0.21793,0.292425,0.331868,0.157598,0.09206
7,9,F4_T2_2,-96.590307,39.216961,83.5,35.5,1.14,11400,2.34,266.76,26.676,,0.011891,0.016909,0.01943,0.024167,0.027605,0.04185,0.112434,0.174211,0.240681,0.069379,0.808704,0.738543,0.705303,0.605753,0.457495,0.646165,0.397846,0.240289,0.173808,0.066402,0.557456,0.424467,0.365862,0.205097,0.267851,0.340438,0.176706,0.10866
8,8,F4_T2_1,-96.59089,39.216967,73,29,0.88,8800,2.67,234.96,23.496,,0.01109,0.016605,0.018757,0.023896,0.024905,0.043582,0.121995,0.199126,0.256874,0.060861,0.833338,0.760391,0.733474,0.660923,0.473577,0.672413,0.383804,0.199959,0.140812,0.020681,0.594303,0.448219,0.398222,0.272701,0.291736,0.366029,0.180023,0.120483
9,7,F4_T1_2,-96.590225,39.216897,78.1,32,1,10000,2.65,265,26.5,,0.012486,0.017047,0.020523,0.024318,0.027504,0.042896,0.124933,0.154434,0.243487,0.092532,0.818278,0.759868,0.717806,0.639145,0.48881,0.674134,0.375538,0.234717,0.145342,0.061478,0.549096,0.43123,0.352774,0.218643,0.276406,0.321483,0.175775,0.08462
10,6,F4_T1_1,-96.590876,39.216902,43.2,18,0.44,4400,3.57,157.08,15.708,,0.01171,0.016854,0.019178,0.024167,0.02801,0.042283,0.113449,0.180053,0.241747,0.064501,0.812871,0.741317,0.710803,0.603985,0.456978,0.648774,0.410354,0.248674,0.187175,0.073648,0.566224,0.430011,0.375937,0.20305,0.272621,0.347199,0.178291,0.115114
11,10,F6_T5_2,-96.590331,39.217156,228,68,2.28,22800,2.41,549.48,54.948,1.802,0.009653,0.014249,0.015705,0.017052,0.021345,0.030565,0.116818,0.165068,0.248744,0.087258,0.853506,0.801336,0.767762,0.703732,0.583854,0.757009,0.375035,0.223823,0.139285,0.114018,0.537502,0.408695,0.333323,0.203486,0.310304,0.272677,0.112681,0.025675
12,9,F6_T5_1,-96.590821,39.217145,190,60,1.96,19600,2.33,456.68,45.668,1.704,0.011376,0.015635,0.016858,0.020126,0.024343,0.035045,0.106274,0.163985,0.220839,0.058991,0.835631,0.778297,0.75392,0.697581,0.544321,0.737933,0.330992,0.176592,0.118839,0.08316,0.534368,0.405956,0.355479,0.247077,0.323588,0.254846,0.094825,0.036035
